path,group,duration_s,bpm,rms_db,rms_p90_db,centroid_hz,onset,low_ratio,error
ProgressiveHouse/_played-before/070 - Khen - Out Of A Dream - 2020.mp3,_played-before,485.5,121.0,-12.12,-5.97,2551.0,2.87,0.7193,
"ProgressiveHouse/_played-before/071 - Kolsch - All That Matters (ARTBAT remix), Official Video - 2023.mp3",_played-before,524.5,125.0,-11.91,-6.01,2880.0,1.284,0.627,
"ProgressiveHouse/_played-before/072 - Krasa Rosa, M.O.S. - We Are Kids (ABGT550) - 2023.mp3",_played-before,328.5,124.0,-11.95,-8.19,2684.0,2.073,0.8428,
ProgressiveHouse/_played-before/073 - MAX WEXEM Override - 2026.mp3,_played-before,476.1,121.0,-10.79,-6.01,2716.0,1.921,0.7865,
ProgressiveHouse/_played-before/074 - MAZE 28 Eureka - 2024.mp3,_played-before,483.3,122.0,-12.19,-7.24,2311.0,1.588,0.5503,
ProgressiveHouse/_played-before/075 - Mayro - Tactical (4K Music Video) [SkyTop] - 2021.mp3,_played-before,239.1,122.0,-10.22,-4.94,2195.0,2.181,0.7219,
ProgressiveHouse/_played-before/076 - Melodiam (AR) – Words Are Weapons (Maze 28 Remix) [onedotsixtwo] - 2024.mp3,_played-before,518.7,122.0,-11.97,-6.19,2442.0,1.673,0.7094,
ProgressiveHouse/_played-before/077 - Mike Rish - The Quest (Kabi Remix) - 2022.mp3,_played-before,474.0,122.0,-11.04,-5.98,2353.0,2.516,0.8102,
ProgressiveHouse/_played-before/078 - Nicholas Van Orton - Groovelow [Balkan Connection South America] - 2026.mp3,_played-before,424.0,122.0,-11.61,-6.79,2149.0,2.461,0.7873,
ProgressiveHouse/_played-before/079 - Nox Vahn - Brainwasher (Warung Remix) - 2021.mp3,_played-before,380.5,123.0,-10.59,-6.24,2739.0,1.927,0.7319,
ProgressiveHouse/_played-before/080 - PREMIERE： Bondarev - Meteora (Cosmonaut Remix) [WARPP] - 2024.mp3,_played-before,450.0,122.0,-13.6,-7.57,2372.0,1.671,0.6965,
