path,group,duration_s,bpm,rms_db,rms_p90_db,centroid_hz,onset,low_ratio,error
MelodicHouse/094 - Flexible Fire - Unfolding Road - 2026.mp3,new,189.2,115.0,-11.21,-7.57,946.0,1.37,0.8221,
MelodicHouse/095 - Flexible Fire feat. Alex Hentze - Añoranza - 2024.mp3,new,180.3,120.0,-12.77,-8.66,1041.0,1.442,0.7891,
MelodicHouse/096 - Flexible Fire feat. Fractures - Toast - 2024.mp3,new,184.5,119.0,-10.59,-6.97,1094.0,1.435,0.9025,
MelodicHouse/097 - Glaue - Kykeon - 2021.mp3,new,359.0,120.0,-14.26,-9.2,1469.0,1.391,0.5693,
MelodicHouse/098 - Grafine - Dawn - 2026.mp3,new,162.4,120.0,-12.67,-7.09,1289.0,2.144,0.7868,
MelodicHouse/099 - Gregory Esayan - Make a Wish (Jay FM Remix) - 2018.mp3,new,320.0,115.0,-12.09,-7.71,1919.0,1.372,0.6912,
MelodicHouse/100 - Jake Kaiser - Kestrel - 2021.mp3,new,358.0,120.0,-12.35,-6.12,1766.0,1.563,0.848,
MelodicHouse/101 - Jay FM - Come - 2018.mp3,new,262.0,120.0,-11.12,-8.39,1202.0,1.393,0.7535,
MelodicHouse/102 - Jay FM - Timeless - 2018.mp3,new,294.0,118.0,-12.01,-8.92,1608.0,1.385,0.5249,
MelodicHouse/103 - Jay FM - Voices - 2018.mp3,new,333.0,117.0,-11.72,-6.24,1506.0,1.59,0.8991,
MelodicHouse/104 - Jay FM - Wishful Thinking - 2021.mp3,new,333.0,120.0,-13.66,-7.74,1400.0,1.269,0.6655,
MelodicHouse/105 - Kaskade & Punctual feat. Poppy Baskcomb - Heaven Knows (Shingo Nakamura Remix) - 2025.mp3,new,178.5,118.0,-11.07,-7.66,1723.0,1.497,0.6825,
MelodicHouse/106 - Keanler & Lewyn - Oxygen - 2023.mp3,new,181.5,121.0,-13.71,-8.34,2164.0,1.346,0.6045,
MelodicHouse/107 - Liam Thomas & Finding Mero - Phrases - 2025.mp3,new,185.0,119.0,-12.61,-8.78,1949.0,1.174,0.5868,
MelodicHouse/108 - Liam Thomas - Tokyo - 2024.mp3,new,135.9,120.0,-12.84,-7.84,1311.0,1.522,0.5495,
MelodicHouse/109 - MXV & Courtney Storm - Can You - 2025.mp3,new,394.9,124.0,-12.89,-7.63,1483.0,1.296,0.6616,
MelodicHouse/110 - Mango & Cloudcage - More Than This - 2023.mp3,new,216.5,119.0,-12.01,-6.92,1774.0,1.595,0.7009,
MelodicHouse/111 - Mango & Cloudcage - Snowglobe - 2025.mp3,new,169.5,118.0,-12.56,-7.89,1605.0,1.376,0.786,
"MelodicHouse/112 - Mango, Cloudcage & Matt Sky - Calling - 2023.mp3",new,201.3,119.0,-15.28,-8.49,2154.0,1.657,0.6976,
MelodicHouse/113 - Marsh - Belle - 2017.mp3,new,461.8,118.0,-8.97,-5.73,1777.0,2.617,0.6982,
MelodicHouse/114 - Marsh - Mini Anthem - 2017.mp3,new,399.7,118.0,-11.19,-5.95,1936.0,2.882,0.7817,
MelodicHouse/115 - Meeting Molly - Westeros - 2020.mp3,new,372.5,116.0,-11.5,-8.25,2123.0,1.698,0.7733,
"MelodicHouse/116 - Momo Dobrev, Shadowmaw - Nightfall (Original Mix) - 2020.mp3",new,406.5,124.1,-12.22,-7.49,2378.0,2.241,0.7397,
MelodicHouse/117 - Nora En Pure - Gratitude (Extended Mix) - 2022.mp3,new,379.6,124.0,-10.37,-5.98,1347.0,1.653,0.6625,
MelodicHouse/118 - Not Now Please - Don't Forget the Parachute - 2021.mp3,new,232.0,120.0,-13.82,-9.22,1754.0,1.537,0.6656,
MelodicHouse/119 - Not Now Please - Time Trap - 2025.mp3,new,180.5,122.0,-12.88,-8.15,1869.0,1.684,0.686,
MelodicHouse/120 - Nōpi - Bila - 2020.mp3,new,456.0,120.0,-12.25,-8.77,2129.0,1.545,0.7211,
MelodicHouse/121 - OKASSUS - Allure - 2025.mp3,new,182.0,118.0,-11.62,-8.32,2209.0,1.923,0.8534,
MelodicHouse/122 - OKASSUS - Maraschino - 2026.mp3,new,197.0,120.0,-12.18,-7.19,2090.0,1.657,0.7775,
"MelodicHouse/123 - ORACLE & Holochrome - Love Me, Let Me Go - 2025.mp3",new,188.0,120.2,-11.98,-8.02,1804.0,1.626,0.5106,
MelodicHouse/124 - ORACLE & JEANS - Evergreen - 2026.mp3,new,194.3,120.0,-10.53,-7.47,1318.0,1.788,0.7593,
MelodicHouse/125 - ORACLE - Around Me - 2024.mp3,new,198.3,118.0,-10.93,-7.64,1630.0,2.035,0.6393,
MelodicHouse/126 - ORACLE - Breathless - 2026.mp3,new,189.3,120.0,-11.29,-6.69,994.0,2.052,0.8106,
MelodicHouse/127 - ORACLE - Echoes - 2022.mp3,new,687.3,65.1,-27.48,-21.42,1737.0,1.535,0.0418,
MelodicHouse/128 - ORACLE - Sunrise - 2026.mp3,new,329.0,120.0,-13.09,-9.36,892.0,1.508,0.7678,
MelodicHouse/129 - RAINE - Nomad - 2025.mp3,new,174.1,118.0,-11.84,-7.93,1617.0,1.838,0.6917,
MelodicHouse/130 - RAINE - Where You Go - 2026.mp3,new,152.3,118.0,-13.05,-7.92,1374.0,1.921,0.6477,
MelodicHouse/131 - Seawayz - Be Better - 2026.mp3,new,151.4,118.0,-11.81,-7.17,1667.0,1.428,0.7114,
MelodicHouse/132 - Shingo Nakamura & Cloudcage - Thousands of Sounds - 2026.mp3,new,148.3,118.0,-11.08,-7.5,1487.0,1.311,0.8049,
MelodicHouse/133 - Shingo Nakamura & Jordin Post - Take Me Away (A.M.R Remix) - 2026.mp3,new,184.0,118.0,-12.89,-6.8,1960.0,1.846,0.7323,
MelodicHouse/134 - Shingo Nakamura & MØØNE - Cautious Love - 2026.mp3,new,331.4,123.0,-11.69,-6.83,1821.0,1.527,0.6705,
